,artist,tempo,duration,loudness
0,Manuel Turizo,124.98,162637.0,-5.329
1,Bad Bunny,118.93945454545457,187011.95454545456,-5.711909090909091
2,OneRepublic,119.63112068965515,217055.0,-6.901689655172413
3,Chris Brown,130.9135,166681.5,-5.9254999999999995
4,Harry Styles,134.66,170651.5,-4.7735
5,Joji,169.914,233456.0,-9.258
6,The Neighbourhood,108.85372,227576.96,-6.56688
7,Tom Odell,112.12255555555556,182173.22222222222,-11.66288888888889
8,Beyoncé,115.042,225388.0,-5.668
9,KAROL G,159.46716666666669,193719.66666666666,-4.821166666666667
10,Arctic Monkeys,123.43641414141415,210567.11111111112,-6.6845757575757565
11,Nicki Minaj,133.01,170977.0,-2.653
12,Luar La L,121.737,141340.0,-4.948
13,The Weeknd,127.08350000000002,226789.16666666666,-5.813333333333333
14,Kate Bush,118.58355555555555,254938.88888888888,-13.002444444444444
15,Beach Weather,143.969,196784.0,-5.083
16,Doja Cat,120.83233333333334,194201.66666666666,-5.977833333333333
17,Lil Nas X,136.15800000000002,151295.0,-5.5794999999999995
18,Seafret,123.51591666666667,220858.25,-7.734083333333333
19,Elley Duhé,185.727,184447.0,-8.271
20,Ruth B.,116.959,233720.0,-2.958
21,Stephen Sanchez,119.59821428571429,211692.92857142858,-8.602428571428572
22,Rels B,97.22319999999999,173851.4,-6.962000000000001
23,Imagine Dragons,119.15035714285716,201090.5,-5.249928571428572
24,Zach Bryan,136.9135,210204.33333333334,-7.9525000000000015
25,Lizzo,144.98499999999999,181937.75,-4.66375
26,Armani White,100.007,99282.0,-6.647
27,The Walters,75.977,160239.0,-4.891
28,Glass Animals,127.84633333333335,256149.33333333334,-8.652666666666667
29,Ghost,122.81938461538464,249506.38461538462,-5.73
30,Billie Eilish,122.16407142857143,200380.7142857143,-10.231892857142855
31,Olivia Rodrigo,152.2502,208164.8,-7.736200000000001
32,IVE,120.97766666666666,177537.33333333334,-2.8056666666666668
33,Ed Sheeran,111.8092,234486.0,-6.739
34,Omar Apollo,86.4234,184153.2,-8.757200000000001
35,J. Cole,100.028,292799.0,-8.492
36,Sam Smith,101.7275,217770.375,-7.869375
37,Eminem,131.13766666666666,296328.8333333333,-3.4324999999999997
38,Justin Bieber,122.69250000000001,202355.125,-6.543374999999999
39,Taylor Swift,111.35171428571428,234185.2857142857,-6.452
40,One Direction,116.2782,218466.4,-5.5326
41,Paloma Faith,105.46379999999999,212471.0,-5.5528
42,BLACKPINK,124.64938235294119,197814.9705882353,-5.338029411764706
43,Lewis Capaldi,109.891,182160.0,-5.679
44,Yung Gravy,102.004,146470.0,-6.784
45,Feid,159.0390909090909,169433.63636363635,-4.754999999999999
46,Bruno Mars,126.64450000000001,219270.33333333334,-4.267666666666667
47,Tears For Fears,112.59692857142855,306677.71428571426,-8.208928571428572
48,XXXTENTACION,117.68796,123678.74,-8.802739999999998
49,Conan Gray,102.078,198040.0,-7.301
50,Måneskin,124.0554,194964.6,-4.069
51,Farruko,126.71199999999999,271306.3333333333,-4.445
52,The Police,122.33175000000001,227326.5,-8.8345
53,Benson Boone,78.007,216410.0,-6.031
54,Jack Harlow,120.94571428571429,162339.0,-6.618428571428573
55,Morgan Wallen,155.22166666666666,190114.33333333334,-4.9110000000000005
56,Surf Curse,144.11385714285717,213845.07142857142,-5.23492857142857
57,Avicii,125.88914285714284,222983.42857142858,-4.996857142857143
58,Shawn Mendes,123.38714285714283,197695.0,-5.103142857142857
59,GAYLE,123.214,173947.88888888888,-6.2701111111111105
60,TWICE,133.056294117647,201826.0,-2.807941176470588
61,The Killers,138.00424999999998,221493.0,-5.4677500000000006
62,Radiohead,112.59227272727274,283019.0,-9.771727272727272
63,Jaymes Young,105.6485,242533.0,-8.849
